timestamp_iso,raw,voltage
2025-12-20T15:37:42.268726,13320,1.66
2025-12-20T15:37:42.296838,13224,1.65
2025-12-20T15:37:42.324732,13266,1.66
2025-12-20T15:37:42.349953,13313,1.66
2025-12-20T15:37:42.379859,13221,1.65
2025-12-20T15:37:42.403055,13275,1.66
2025-12-20T15:37:42.431495,13291,1.66
2025-12-20T15:37:42.459266,13114,1.64
2025-12-20T15:37:42.484766,13246,1.66
2025-12-20T15:37:42.512362,12818,1.6
2025-12-20T15:37:42.540419,12714,1.59
2025-12-20T15:37:42.565484,13433,1.68
2025-12-20T15:37:42.596443,12957,1.62
2025-12-20T15:37:42.625332,13071,1.63
2025-12-20T15:37:42.646661,13679,1.71
2025-12-20T15:37:42.674923,13478,1.68
2025-12-20T15:37:42.702893,13395,1.67
2025-12-20T15:37:42.728017,13484,1.69
2025-12-20T15:37:42.756025,13282,1.66
2025-12-20T15:37:42.785119,13277,1.66
2025-12-20T15:37:42.809111,13257,1.66
2025-12-20T15:37:42.838307,11770,1.47
2025-12-20T15:37:42.865341,12954,1.62
2025-12-20T15:37:42.890307,13151,1.64
2025-12-20T15:37:42.918453,11794,1.47
2025-12-20T15:37:42.946588,13488,1.69
2025-12-20T15:37:42.975483,13078,1.63
2025-12-20T15:37:42.999702,12325,1.54
2025-12-20T15:37:43.027859,13911,1.74
2025-12-20T15:37:43.052764,12977,1.62
2025-12-20T15:37:43.081754,12688,1.59
2025-12-20T15:37:43.108984,14172,1.77
2025-12-20T15:37:43.135144,12678,1.58
2025-12-20T15:37:43.162096,12986,1.62
2025-12-20T15:37:43.190183,14348,1.79
2025-12-20T15:37:43.215199,12843,1.61
2025-12-20T15:37:43.246216,13688,1.71
2025-12-20T15:37:43.271559,14380,1.8
2025-12-20T15:37:43.296458,14066,1.76
2025-12-20T15:37:43.325786,13973,1.75
2025-12-20T15:37:43.352661,13879,1.73
2025-12-20T15:37:43.379766,13523,1.69
2025-12-20T15:37:43.405743,13559,1.69
2025-12-20T15:37:43.435114,13532,1.69
2025-12-20T15:37:43.458842,13289,1.66
2025-12-20T15:37:43.487083,13416,1.68
2025-12-20T15:37:43.515090,13388,1.67
2025-12-20T15:37:43.540072,13209,1.65
2025-12-20T15:37:43.568156,13370,1.67
2025-12-20T15:37:43.596850,13295,1.66
2025-12-20T15:37:43.621296,13178,1.65
2025-12-20T15:37:43.649365,13366,1.67
2025-12-20T15:37:43.678140,13233,1.65
2025-12-20T15:37:43.702453,13204,1.65
2025-12-20T15:37:43.731407,13369,1.67
2025-12-20T15:37:43.758709,13174,1.65
2025-12-20T15:37:43.784737,13233,1.65
2025-12-20T15:37:43.811798,13366,1.67
2025-12-20T15:37:43.840066,13139,1.64
2025-12-20T15:37:43.864893,13271,1.66
2025-12-20T15:37:43.896449,13356,1.67
2025-12-20T15:37:43.921102,13131,1.64
2025-12-20T15:37:43.947176,13308,1.66
2025-12-20T15:37:43.976559,13333,1.67
2025-12-20T15:37:44.002306,13161,1.65
2025-12-20T15:37:44.027836,13335,1.67
2025-12-20T15:37:44.055438,13334,1.67
2025-12-20T15:37:44.085770,13312,1.66
2025-12-20T15:37:44.108539,13340,1.67
2025-12-20T15:37:44.137228,13332,1.67
2025-12-20T15:37:44.164736,13302,1.66
2025-12-20T15:37:44.189838,13282,1.66
2025-12-20T15:37:44.217841,13272,1.66
2025-12-20T15:37:44.246971,13264,1.66
2025-12-20T15:37:44.270922,13258,1.66
2025-12-20T15:37:44.299058,13256,1.66
2025-12-20T15:37:44.327386,13254,1.66
2025-12-20T15:37:44.352122,13253,1.66
2025-12-20T15:37:44.380394,13251,1.66
2025-12-20T15:37:44.408374,13250,1.66
2025-12-20T15:37:44.435453,13250,1.66
2025-12-20T15:37:44.461447,13250,1.66
2025-12-20T15:37:44.489709,13247,1.66
2025-12-20T15:37:44.514609,13247,1.66
2025-12-20T15:37:44.542652,13247,1.66
2025-12-20T15:37:44.570812,13247,1.66
2025-12-20T15:37:44.597839,13253,1.66
2025-12-20T15:37:44.627145,13091,1.64
2025-12-20T15:37:44.651993,12279,1.53
2025-12-20T15:37:44.677005,10677,1.33
2025-12-20T15:37:44.705084,12163,1.52
2025-12-20T15:37:44.733153,13123,1.64
2025-12-20T15:37:44.758193,11520,1.44
2025-12-20T15:37:44.786258,13357,1.67
2025-12-20T15:37:44.814414,13242,1.66
2025-12-20T15:37:44.839814,11866,1.48
2025-12-20T15:37:44.867509,14054,1.76
2025-12-20T15:37:44.897272,13504,1.69
2025-12-20T15:37:44.920596,12043,1.51
2025-12-20T15:37:44.948720,14500,1.81
2025-12-20T15:37:44.976932,12872,1.61
2025-12-20T15:37:45.001831,12901,1.61
2025-12-20T15:37:45.030604,14626,1.83
2025-12-20T15:37:45.058082,12378,1.55
2025-12-20T15:37:45.083279,12775,1.6
2025-12-20T15:37:45.111147,14561,1.82
