timestamp_iso,raw,voltage
2025-12-20T16:11:27.746894,13518,1.69
2025-12-20T16:11:27.746963,13519,1.69
2025-12-20T16:11:27.747023,13525,1.69
2025-12-20T16:11:27.751534,13531,1.69
2025-12-20T16:11:27.751607,13534,1.69
2025-12-20T16:11:27.751668,13518,1.69
2025-12-20T16:11:27.751731,13510,1.69
2025-12-20T16:11:27.751791,13517,1.69
2025-12-20T16:11:27.751850,13034,1.63
2025-12-20T16:11:27.751912,13151,1.64
2025-12-20T16:11:27.752059,13508,1.69
2025-12-20T16:11:27.752177,12974,1.62
2025-12-20T16:11:27.752242,13270,1.66
2025-12-20T16:11:27.752300,13443,1.68
2025-12-20T16:11:27.752358,12929,1.62
2025-12-20T16:11:27.764836,13340,1.67
2025-12-20T16:11:27.793435,13383,1.67
2025-12-20T16:11:27.817926,12960,1.62
2025-12-20T16:11:27.845999,13453,1.68
2025-12-20T16:11:27.877273,13272,1.66
2025-12-20T16:11:27.903590,12966,1.62
2025-12-20T16:11:27.927518,13520,1.69
2025-12-20T16:11:27.955251,13230,1.65
2025-12-20T16:11:27.980865,13075,1.63
2025-12-20T16:11:28.008391,13534,1.69
2025-12-20T16:11:28.039697,13107,1.64
2025-12-20T16:11:28.061377,13132,1.64
2025-12-20T16:11:28.090700,13516,1.69
2025-12-20T16:11:28.117533,13056,1.63
2025-12-20T16:11:28.142891,13237,1.65
2025-12-20T16:11:28.170672,13490,1.69
2025-12-20T16:11:28.202894,12982,1.62
2025-12-20T16:11:28.227357,13314,1.66
2025-12-20T16:11:28.251882,13418,1.68
2025-12-20T16:11:28.279923,12973,1.62
2025-12-20T16:11:28.304815,13409,1.68
2025-12-20T16:11:28.334419,13333,1.67
2025-12-20T16:11:28.360999,12959,1.62
2025-12-20T16:11:28.386729,13443,1.68
2025-12-20T16:11:28.414116,13237,1.65
2025-12-20T16:11:28.442499,13002,1.63
2025-12-20T16:11:28.467109,13496,1.69
2025-12-20T16:11:28.496637,13147,1.64
2025-12-20T16:11:28.526951,13083,1.64
2025-12-20T16:11:28.552738,13523,1.69
2025-12-20T16:11:28.576563,13071,1.63
2025-12-20T16:11:28.604486,13169,1.65
2025-12-20T16:11:28.630691,13516,1.69
2025-12-20T16:11:28.657563,13006,1.63
2025-12-20T16:11:28.685801,13265,1.66
2025-12-20T16:11:28.710647,13475,1.68
2025-12-20T16:11:28.739141,12989,1.62
2025-12-20T16:11:28.766720,13346,1.67
2025-12-20T16:11:28.793044,13395,1.67
2025-12-20T16:11:28.819809,12962,1.62
2025-12-20T16:11:28.850447,13428,1.68
2025-12-20T16:11:28.876638,13300,1.66
2025-12-20T16:11:28.901114,12983,1.62
2025-12-20T16:11:28.929792,13463,1.68
2025-12-20T16:11:28.954031,13195,1.65
2025-12-20T16:11:28.984497,13032,1.63
2025-12-20T16:11:29.010243,13506,1.69
2025-12-20T16:11:29.035654,13097,1.64
2025-12-20T16:11:29.063245,13098,1.64
2025-12-20T16:11:29.091450,13537,1.69
2025-12-20T16:11:29.116314,13002,1.63
2025-12-20T16:11:29.144938,13177,1.65
2025-12-20T16:11:29.176721,13499,1.69
2025-12-20T16:11:29.198994,12967,1.62
2025-12-20T16:11:29.227228,13313,1.66
2025-12-20T16:11:29.253717,13440,1.68
2025-12-20T16:11:29.278899,12905,1.61
2025-12-20T16:11:29.306725,13374,1.67
2025-12-20T16:11:29.336070,13344,1.67
2025-12-20T16:11:29.359787,12922,1.62
2025-12-20T16:11:29.389732,13476,1.68
2025-12-20T16:11:29.415928,13266,1.66
2025-12-20T16:11:29.441750,12977,1.62
2025-12-20T16:11:29.468999,13541,1.69
2025-12-20T16:11:29.497114,13164,1.65
2025-12-20T16:11:29.522131,13062,1.63
2025-12-20T16:11:29.550182,13560,1.7
2025-12-20T16:11:29.579213,13064,1.63
2025-12-20T16:11:29.603281,13158,1.64
2025-12-20T16:11:29.631324,13566,1.7
2025-12-20T16:11:29.659428,12996,1.62
2025-12-20T16:11:29.684892,13247,1.66
2025-12-20T16:11:29.712467,13507,1.69
2025-12-20T16:11:29.740656,12935,1.62
2025-12-20T16:11:29.765544,13352,1.67
2025-12-20T16:11:29.794311,13429,1.68
2025-12-20T16:11:29.821723,12913,1.61
2025-12-20T16:11:29.848968,13445,1.68
2025-12-20T16:11:29.876462,13337,1.67
2025-12-20T16:11:29.902827,12933,1.62
2025-12-20T16:11:29.927933,13504,1.69
2025-12-20T16:11:29.955928,13173,1.65
2025-12-20T16:11:29.984301,12970,1.62
2025-12-20T16:11:30.008989,13548,1.69
2025-12-20T16:11:30.038960,13120,1.64
2025-12-20T16:11:30.065138,13084,1.64
2025-12-20T16:11:30.090827,13582,1.7
2025-12-20T16:11:30.118189,13031,1.63
2025-12-20T16:11:30.148976,13182,1.65
2025-12-20T16:11:30.171226,13518,1.69
2025-12-20T16:11:30.199937,12925,1.62
2025-12-20T16:11:30.227670,13274,1.66
2025-12-20T16:11:30.252411,13480,1.68
2025-12-20T16:11:30.280572,12931,1.62
